fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,May,18,MAHARASHTRA,1814,KOLHAPUR,145122,312.590960730306,20,44,0,326,295,12068,247239,20143,18476,445,366,0,772.846765400001,12295,21129,53548,132421,35,382918,693653,12394,772.846765400001,116004,94,31.91,28.8,111.11,NA
2025-2026,May,18,MAHARASHTRA,1819,NANDED,1518128,284.575269073037,17,159,13.53858,1172,276,47584,830518,79204,77789,52738,40584,0.66,2377.6474132,47454,79310,192386,505575,28,706163,1566147,48756,2363.4488332,374337,85,68.4,66.51,100.82,NA
2025-2026,May,18,MAHARASHTRA,1823,AKOLA,460571,302.416854991902,17,1233,0,3027,27,36691,614345,68209,37422,23481,11623,29.63529,1887.5181178,35635,55429,99287,227949,69,335681,634036,39718,1857.8828278,250163,93,44.07,45.06,100.22,NA
2025-2026,May,18,MAHARASHTRA,1826,WARDHA,487787,365.955672982806,24,131,2.03734,594,42,14020,324882,21817,15600,26459,15106,22.105,1213.0664495,13465,22329,59546,147257,69,238707,438862,14614,1188.9241095,138691,89,51.08,50.93,100.52,NA
2025-2026,May,18,MAHARASHTRA,1829,CHANDRAPUR,2016952,292.143073068524,19,358,0,4385,47,28672,1005604,91132,60559,228012,104982,86.87413,3024.6765585,51347,86641,170142,488254,46,396248,941859,33057,2937.8024285,517114,82,27.74,38.37,100.06,NA
2025-2026,May,18,MAHARASHTRA,1832,WASHIM,1042727,308.493931752065,18,473,0,132,44,29894,717736,46450,23074,21570,8935,5.28849,2219.460496,39528,64207,107923,249148,11,310356,609215,30026,2214.172006,321180,92,77.77,78.05,100,NA
2025-2026,May,18,MAHARASHTRA,1807,DHULE,660968,370.407924487576,18,163,0,1198,69,30617,491098,18001,17182,90594,80479,0,1819.065909,27239,45855,106360,298552,72,586051,1140347,31815,1819.065909,214241,92,56.41,55.95,102.13,NA
2025-2026,May,18,MAHARASHTRA,1816,JALNA,1561678,482.192591537233,14,182,0,1092,158,50452,621168,17027,20658,3815,3249,166.52546,3161.751537,41972,73616,178030,465612,41,545684,1179732,51544,2995.226077,275795,85,69.02,68.16,100.27,NA
2025-2026,May,18,MAHARASHTRA,1821,LATUR,1718059,409.855756498775,19,100,0,988,87,32384,648276,45984,53610,6060,4376,0,2656.996504,33757,55914,138052,342972,34,422261,882066,33372,2656.996504,280543,87,67.27,62.47,100,NA
2025-2026,May,18,MAHARASHTRA,1824,AMRAVATI,2369554,378.906347058978,27,741,0.28512,3790,27,47529,1485759,124592,52633,603368,139490,4.12172,5634.04199299999,53676,103883,191688,541831,791,506286,1120686,51319,5629.63515299999,670094,81,34.82,59.42,100.78,NA
2025-2026,May,18,MAHARASHTRA,1831,NANDURBAR,409762,303.4003771651,18,69,1.14223,2794,30,39909,645871,10705,10759,537584,294036,6.13765,1966.85493,35410,54837,152756,363831,9,607890,1184935,42703,1959.57505,294078,91,13.85,12.95,101.91,NA
2025-2026,May,18,MAHARASHTRA,1834,HINGOLI,890870,347.934777726109,20,80,0,1930,45,23424,647287,71991,44660,92598,43416,0.428,2252.5645847,31033,52521,97931,249947,88,281302,627394,25354,2252.1365847,278773,91,82.86,77.98,100.02,NA
2025-2026,May,18,MAHARASHTRA,1808,JALGAON,478285,278.490256896997,17,120,28.282765,1571,167,43416,748043,35715,29692,60624,39015,0,2111.5096374,42476,68108,147918,365046,49,698563,1320713,44987,2083.2268724,325304,93,31.47,30.82,101.33,NA
2025-2026,May,18,MAHARASHTRA,1813,SOLAPUR,345588,332.02310078816,15,98,0,460,302,24689,251091,9762,14668,2422,2344,0.329,834.009124,15959,27126,91406,208204,7,591510,1037606,25149,833.680124,104518,97,61.59,61.37,104.46,NA
2025-2026,May,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,4370122,281.906300478788,18,591,0,995,146,77091,754822,20043,27031,13848,12875,79.50852,2207.3992954,40685,75375,242446,646960,67,712312,1512973,78086,2127.8907754,338616,94,67.43,62.29,102.76,NA
2025-2026,May,18,MAHARASHTRA,1816,JALNA,1561678,304.187193729074,14,178,0,1035,206,50233,575226,15839,20615,3626,3243,166.52546,1916.289287,40149,70384,177736,465011,33,533174,1161938,51268,1749.763827,255566,85,70.35,69.45,100.29,NA
2025-2026,May,18,MAHARASHTRA,1818,BEED,3153695,367.137651673918,17,283,24.36237,1256,165,86695,1319838,23716,16498,2653,1996,0,4869.9846091,75224,134885,289942,700214,154,797937,1574107,87951,4845.6222391,576743,81,65.79,63.19,101.08,NA
2025-2026,May,18,MAHARASHTRA,1821,LATUR,1718059,295.466324513761,17,83,0,793,160,32286,541863,38412,53516,4829,4371,0,1601.02269,31067,51275,137642,342100,7,418266,876480,33079,1601.02269,234105,87,65.7,60.51,100,NA
2025-2026,May,18,MAHARASHTRA,1827,NAGPUR,599328,299.230554503151,15,68,0,593,186,18952,200071,21893,32008,21144,31334,9.54709,608.2206527,12875,18555,99884,228885,2,298144,568895,19545,598.6735627,88831,83,40.52,40.73,100.01,NA
2025-2026,May,18,MAHARASHTRA,1832,WASHIM,1042727,311.220300951061,17,468,0,131,49,29802,687022,44815,23056,20819,8932,5.28849,2143.440426,39040,63374,107792,248857,9,307423,604552,29933,2138.151936,307299,92,77.54,77.76,100,NA
2025-2026,May,18,MAHARASHTRA,1803,RAIGAD,54079,302.602356429463,15,24,0,463,415,18728,57672,1364,2701,18586,16109,0,174.516831,3789,6243,29414,67802,5,209496,375035,19191,174.516831,28585,80,33.14,33.39,100.97,NA
2025-2026,May,18,MAHARASHTRA,1804,RATNAGIRI,143920,329.140692569602,12,69,0,476,221,19398,91341,2452,6499,680,1169,0,300.6404,7571,10963,51726,118078,3,260694,483349,19874,300.6404,42357,97,58.65,43.64,100.31,NA
2025-2026,May,18,MAHARASHTRA,1814,KOLHAPUR,145122,316.385041162824,20,43,0,326,300,11970,235771,19732,18454,445,366,0,745.944175400001,11754,20227,53222,131597,33,382191,692180,12296,745.944175400001,110127,94,33.08,29.69,111.65,NA
2025-2026,May,18,MAHARASHTRA,1818,BEED,3153695,357.67253165231,17,284,24.36237,1258,165,86797,1370832,24558,16499,2677,1996,0,4927.4518891,76340,136772,290084,700515,170,802338,1579603,88055,4903.0895191,599147,81,65.74,63.21,101.06,NA
2025-2026,May,18,MAHARASHTRA,1831,NANDURBAR,409762,280.100857893986,17,68,1.14223,2730,44,39911,609749,10036,10736,508132,292999,6.13765,1715.19206,33969,52540,152238,362623,5,596611,1170022,42641,1707.91218,277242,90,12.92,11.96,101.71,NA
2025-2026,May,18,MAHARASHTRA,1832,WASHIM,1042727,310.862637865485,17,470,0,130,48,29849,701499,45641,23064,21279,8932,5.28849,2185.986786,39266,63749,107852,248991,10,308942,606946,29979,2180.698296,313973,92,77.7,77.96,100,NA
2025-2026,May,18,MAHARASHTRA,1809,AHMEDNAGAR,592580,376.244772591135,22,154,0,1600,109,40011,891478,38815,30051,43463,28311,8.1,3362.2393738,39428,70583,152669,445991,204,806848,1990621,41611,3354.1393738,387949,94,51.91,49.86,109.49,NA
2025-2026,May,18,MAHARASHTRA,1810,PUNE,136145,352.709044085172,16,31,0,568,475,19885,160757,5427,9200,19545,22202,1.7325,568.736978,9498,16004,55208,146865,7,397154,856039,20453,567.004478,72056,94,38.29,35.52,101.27,NA
2025-2026,May,18,MAHARASHTRA,1811,SATARA,235552,324.011119075527,14,118,8.98788,314,474,18039,229493,6674,10185,1063,933,0,752.5707175,16184,25524,71939,162406,3,425697,811155,18353,743.5828375,111313,89,18.54,22.84,103.43,NA
2025-2026,May,18,MAHARASHTRA,1812,SANGLI,136576,308.558736667511,21,36,0.57024,1550,119,11214,217045,8815,7580,638,225,0,670.28155,10285,16046,48678,105649,5,326929,577147,12764,669.71131,89649,91,23.16,19.8,100.03,NA
2025-2026,May,18,MAHARASHTRA,1816,JALNA,1561678,473.950489335757,14,189,0,1205,159,50419,634738,17267,20656,3863,3254,166.52546,3174.869317,42522,74558,178096,465731,43,548995,1184579,51624,3008.343857,281662,85,68.99,68.12,100.26,NA
2025-2026,May,18,MAHARASHTRA,1817,PARBHANI,1355836,448.663625242215,19,223,41.98825,503,70,39909,818486,23606,20350,4030,2802,0,3714.2372097,43004,69819,154466,343928,113,446542,849739,40412,3672.2489597,342119,91,74.36,70.22,100.86,NA
2025-2026,May,18,MAHARASHTRA,1820,Dharashiv,666423,382.334428790428,16,87,0.69,559,157,20108,281149,13099,20768,807,1149,0,1075.6194232,17170,27886,78168,198389,15,340530,730202,20667,1074.9294232,119526,79,60.68,59.17,100.04,NA
2025-2026,May,18,MAHARASHTRA,1826,WARDHA,487787,406.023566819244,25,135,2.03734,749,28,13982,357195,24064,15595,28602,15121,22.105,1474.4382195,14058,23359,59754,147683,100,239895,440459,14731,1450.2958795,152321,89,52.29,52.15,100.55,NA
2025-2026,May,18,MAHARASHTRA,1832,WASHIM,1042727,304.971614164262,19,492,0,270,41,30041,799138,50429,23129,23053,8964,5.28849,2442.432548,41460,67508,108297,249977,30,312770,613244,30311,2437.144058,357346,92,78.56,78.91,100,NA
2025-2026,May,18,MAHARASHTRA,1834,HINGOLI,890870,344.93480325702,21,82,0,1978,44,23504,683938,76772,44752,97719,43508,0.428,2359.5681947,31775,53812,98148,250457,103,282090,628680,25482,2359.1401947,294758,91,82.71,77.65,100.12,NA
2025-2026,May,18,MAHARASHTRA,1803,RAIGAD,54079,339.780142846421,16,31,0,825,347,17882,79946,1815,2723,25051,16399,0,271.640633,4734,7825,29846,68722,15,213055,380502,18707,271.640633,39296,83,34.66,35.07,104.77,NA
2025-2026,May,18,MAHARASHTRA,1808,JALGAON,478285,341.879198236901,20,150,29.708365,3014,111,43147,975101,47410,29990,78158,39569,0,3363.3758458,48244,77518,150339,371049,170,713930,1343047,46161,3333.6674808,426329,94,36.06,35.1,105.16,NA
2025-2026,May,18,MAHARASHTRA,1829,CHANDRAPUR,2016952,315.212121110891,22,413,0,6406,36,27332,1257261,116013,60684,277542,105257,86.87413,4049.913196,56668,96052,170848,489864,164,400203,948353,33738,3963.039066,655631,83,28.55,40.81,100.2,NA
2025-2026,May,18,MAHARASHTRA,1835,PALGHAR,1452456,298.244341446602,20,651,63.8034937,3150,31,52880,1334686,3712,1971,1239537,370486,13.226,4057.65496478,65364,118928,143070,413956,300,343406,789567,56030,3980.62547108,731962,90,9.84,20.39,100.43,NA
2025-2026,May,18,MAHARASHTRA,1803,RAIGAD,54079,344.006422616796,16,31,0,778,350,17904,76651,1699,2717,24175,16376,0,263.684363,4607,7610,29788,68579,12,212647,379846,18682,263.684363,37859,82,34.1,34.57,104.48,NA
2025-2026,May,18,MAHARASHTRA,1808,JALGAON,478285,345.536821754663,19,138,29.708365,2887,121,43266,947806,46178,29962,76420,39524,0,3304.7270938,47582,76417,150008,370219,139,711324,1339168,46153,3275.0187288,414246,94,35.37,34.55,105.25,NA
2025-2026,May,18,MAHARASHTRA,1809,AHMEDNAGAR,592580,373.792449239097,23,160,0,1812,105,40002,955509,41376,30072,43915,28339,8.1,3579.7204938,40538,72790,152995,446974,254,809736,1996430,41814,3571.6204938,416571,94,53.52,51.48,108.97,NA
2025-2026,May,18,MAHARASHTRA,1812,SANGLI,136576,310.475795035916,21,37,0.57024,1621,112,11105,227474,9059,7590,638,225,0,706.82195,10723,16752,48887,106059,6,327474,577961,12726,706.25171,94225,91,23.33,20.04,100.07,NA
2025-2026,May,18,MAHARASHTRA,1814,KOLHAPUR,145122,336.521492922288,20,47,0,491,266,12201,291549,21624,18546,494,369,0,981.125047400002,13982,23915,54369,134424,35,385270,698403,12692,981.125047400002,137411,94,35.07,31.82,111.65,NA
2025-2026,May,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,4370122,337.444123205497,21,682,0,1376,61,78125,1140079,29413,27195,18689,13004,79.50852,3926.6381054,51868,96210,243955,650741,311,720514,1527367,79501,3847.1295854,511759,94,68.55,64.53,102.15,NA
2025-2026,May,18,MAHARASHTRA,1818,BEED,3153695,367.6325021951,21,368,24.36237,1597,134,88541,2053437,35287,16700,4090,2030,0,7573.4641941,94679,168481,293356,707133,665,817747,1599146,90138,7549.1018241,897300,81,66.8,65.14,103.4,NA
2025-2026,May,18,MAHARASHTRA,1819,NANDED,1518128,345.548638205569,20,184,13.53858,1373,183,47879,1076932,100235,78117,69443,40825,0.66,3735.5224404,53729,90127,193681,508598,122,729120,1598485,49252,3721.3238604,485166,85,71.59,70.08,101.12,NA
2025-2026,May,18,MAHARASHTRA,1820,Dharashiv,666423,384.910662337046,18,92,0.69,605,144,20351,358307,16284,20835,891,1149,0,1379.8518469,19512,31876,78703,199807,34,342528,733798,20956,1379.1618469,152554,79,63.68,62.41,100.03,NA
2025-2026,May,18,MAHARASHTRA,1822,BULDHANA,417104,315.407642119559,13,100,0,1870,137,33670,455057,28985,34395,9208,7800,0,1435.284554,34033,51359,136026,329933,4,506243,1052703,35540,1435.284554,180699,95,42.98,42.46,100,NA
2025-2026,May,18,MAHARASHTRA,1811,SATARA,235552,310.405204226169,14,118,8.98788,328,474,18181,241448,7023,10204,1082,936,0,758.4550375,16611,26191,72149,162920,4,426163,812207,18509,749.4671575,116543,89,19.84,24.25,103.47,NA
2025-2026,May,18,MAHARASHTRA,1814,KOLHAPUR,145122,331.342965482323,20,46,0,489,272,12157,286375,21537,18543,494,369,0,948.883417400002,13745,23476,54234,134058,35,385002,697841,12646,948.883417400002,134745,94,34.86,31.77,111.72,NA
2025-2026,May,18,MAHARASHTRA,1820,Dharashiv,666423,357.529660246456,17,90,0.69,582,153,20238,319408,14723,20812,879,1149,0,1142.6683372,18181,29595,78437,199112,17,341715,732371,20820,1141.9783372,136127,79,61.84,60.47,100.04,NA
2025-2026,May,18,MAHARASHTRA,1831,NANDURBAR,409762,296.112783862828,18,78,1.14223,2996,28,40159,697520,11956,10767,580499,295236,6.13765,2072.72577,37223,57741,153344,365201,16,617872,1198421,43155,2065.44589,317287,91,14.96,14.2,102.19,NA
2025-2026,May,18,MAHARASHTRA,1832,WASHIM,1042727,307.418633542522,19,496,0,342,39,30059,838160,52307,23154,23654,8978,5.28849,2581.9485089,42330,68961,108494,250389,50,313433,614398,30401,2576.6600189,374761,92,78.6,79.01,100.01,NA
2025-2026,May,18,MAHARASHTRA,1834,HINGOLI,890870,344.5794369767,22,82,0,2100,41,23540,721622,80415,44788,102773,43539,0.428,2486.9890247,32437,54964,98279,250755,140,283119,630341,25640,2486.5610247,311579,91,82.96,77.91,100.12,NA
2025-2026,May,18,MAHARASHTRA,1804,RATNAGIRI,143920,385.465290613126,12,86,0,473,178,19015,106585,2914,6515,752,1174,0,410.84818,8215,11953,51979,118686,5,260834,483588,19488,410.84818,49827,97,57,43.34,100.5,NA
2025-2026,May,18,MAHARASHTRA,1807,DHULE,660968,371.009334680196,18,163,0,1238,69,30644,500917,18158,17186,93333,80662,0,1858.448829,27651,46585,106532,298936,75,586991,1141626,31882,1858.448829,218730,92,56.56,56.1,105.07,NA
2025-2026,May,18,MAHARASHTRA,1808,JALGAON,478285,348.844677811454,18,129,29.708365,1790,133,43891,853553,40862,29829,70229,39248,0,3007.2825778,45209,72480,149008,367732,81,706692,1332314,45681,2977.5742128,372479,93,33.15,32.43,105.5,NA
2025-2026,May,18,MAHARASHTRA,1812,SANGLI,136576,313.638091765304,20,34,0.57024,1550,120,11138,208423,8614,7572,626,225,0,654.26416,10043,15674,48541,105342,5,326770,576899,12688,653.69392,85972,91,22.56,19.11,100.03,NA
2025-2026,May,18,MAHARASHTRA,1803,RAIGAD,54079,342.444193040786,16,31,0,824,347,17873,78802,1738,2721,24480,16384,0,269.852873,4676,7748,29817,68657,15,212934,380295,18697,269.852873,38873,82,35.08,35.49,104.39,NA
2025-2026,May,18,MAHARASHTRA,1808,JALGAON,478285,343.378557953297,20,138,29.708365,2967,120,43099,958263,46732,29977,77016,39539,0,3320.1780358,47867,76909,150148,370580,152,712214,1340458,46066,3290.4696708,418912,94,35.62,34.71,105.24,NA
2025-2026,May,18,MAHARASHTRA,1812,SANGLI,136576,310.790443920223,21,38,0.57024,1624,107,11122,233150,9162,7591,638,225,0,725.17816,10870,16973,48951,106200,6,327599,578192,12746,724.60792,96361,92,24.04,20.8,100.07,NA
2025-2026,May,18,MAHARASHTRA,1814,KOLHAPUR,145122,334.709948166997,21,53,0,491,263,12306,307719,22334,18578,499,369,0,1029.9661054,14529,24913,54768,135428,49,385534,699000,12797,1029.9661054,144643,94,38.5,33.8,111.14,NA
2025-2026,May,18,MAHARASHTRA,1819,NANDED,1518128,346.487274947399,20,187,13.53858,1402,180,47920,1097399,101884,78194,70545,40854,0.66,3816.5464704,54444,91341,193807,508927,130,732566,1603601,49322,3802.3478904,494384,85,71.19,69.68,101.12,NA
2025-2026,May,18,MAHARASHTRA,1824,AMRAVATI,2369554,359.1909885729,30,769,0.28512,5627,26,46118,1762652,148598,52670,720791,139576,4.12172,6335.69398389999,57241,111403,192163,542899,1433,510893,1126994,51745,6331.28714389999,797164,81,35.58,61.6,101.05,NA
2025-2026,May,18,MAHARASHTRA,1826,WARDHA,487787,391.836817731361,26,151,2.03734,965,26,14010,404639,26953,15658,31570,15178,22.105,1609.6669209,15116,25138,60163,148687,144,240898,442041,14975,1585.5245809,172277,89,53.29,53.2,100.52,NA
2025-2026,May,18,MAHARASHTRA,1830,GADCHIROLI,1263319,324.878903683933,22,584,0,6311,6,20868,1064786,83657,39302,393767,167740,39.67467,3498.93975338,47567,86679,135974,393445,125,251297,629659,27179,3459.26508338,512612,85,20.88,27.32,100.2,NA
2025-2026,May,18,MAHARASHTRA,1831,NANDURBAR,409762,297.140060681817,18,81,1.14223,3362,27,40091,720809,12620,10801,598350,295904,6.13765,2149.09218,38141,59222,153700,366047,17,623414,1205942,43453,2141.8123,328221,91,14.81,14.13,102.65,NA
2025-2026,May,18,MAHARASHTRA,1834,HINGOLI,890870,341.355320478766,23,85,0,2134,33,23695,777415,87309,44857,110584,43606,0.428,2654.1754647,33428,56651,98446,251167,198,283846,631546,25829,2653.7474647,335030,91,83.65,78.67,100.11,NA
2025-2026,May,18,MAHARASHTRA,1835,PALGHAR,1452456,294.482300635686,20,651,63.8034937,3150,32,52766,1324081,3704,1970,1230443,370188,13.226,3976.21368478,65045,118402,142924,413599,286,343047,788915,55916,3899.18419108,726403,90,9.79,20.26,100.39,NA
2025-2026,May,18,MAHARASHTRA,1808,JALGAON,478285,330.960130376417,21,165,49.210405,3366,85,43826,1133027,55113,30154,88298,39906,0,3799.0780414,52787,85116,152028,375001,267,725411,1358745,47192,3749.8676364,494132,94,39.34,38.43,104.57,NA
2025-2026,May,18,MAHARASHTRA,1816,JALNA,1561678,449.753833212613,15,203,16.49398,1471,131,51116,742766,22022,20751,4432,3272,166.95546,3524.0679968,46857,82098,179006,467449,79,572941,1217970,52587,3340.6185568,329739,85,64.63,63.79,100.69,NA
2025-2026,May,18,MAHARASHTRA,1817,PARBHANI,1355836,388.422560400929,22,266,41.98825,949,62,40236,1209791,35087,20500,6133,2852,6.3749,4747.4643277,53130,86637,156485,347669,418,456997,863304,41185,4699.1011777,507028,91,74.07,69.81,100.96,NA
2025-2026,May,18,MAHARASHTRA,1818,BEED,3153695,335.061510458515,24,418,44.26349,1964,116,90321,2759235,46781,16881,5880,2044,0,9289.39795810001,110745,196914,296479,712898,1633,832693,1617534,92285,9245.13446810001,1205857,82,67.32,65.87,103.32,NA
2025-2026,May,18,MAHARASHTRA,1824,AMRAVATI,2369554,342.11966137588,33,819,32.10674,6567,21,46116,2080094,176101,52730,856503,139780,8.91427,7157.43155909999,61436,119585,192845,544504,2349,517835,1136449,52683,7116.41054909999,942289,81,34.31,60.01,101.12,NA
2025-2026,May,18,MAHARASHTRA,1828,BHANDARA,2408874,214.617593307031,21,3062,0,2805,28,16336,1532414,170778,57581,111818,32049,26.04772,3314.8777663,71284,116160,183200,440757,358,312445,667279,19141,3288.8300463,918015,79,20.82,37.27,100.08,NA
2025-2026,May,18,MAHARASHTRA,1833,GONDIA,2409274,257.618211819467,18,192,26.10782,1893,17,40221,1934402,132432,51902,273905,90541,6.2499,5015.7295618,106223,160077,235218,606816,68,392939,902181,42114,4983.3718418,1224593,80,21.1,39.9,103.34,NA
2025-2026,May,18,MAHARASHTRA,1835,PALGHAR,1452456,303.267137744942,21,706,76.3339637,3761,30,52825,1450703,4108,1981,1346032,372071,34.46575,4510.30517898,67969,123529,143853,415794,425,346869,795152,56586,4399.50546528,797178,90,9.71,20.05,100.76,NA
2025-2026,May,18,MAHARASHTRA,1802,THANE,128319,311.562735772073,25,58,1.73,382,62,14319,257346,6468,3926,110475,41977,10.3281,813.852338,10216,18171,34225,111958,60,158383,363524,14701,801.794238,131349,96,21.76,23.33,100.5,NA
2025-2026,May,18,MAHARASHTRA,1820,Dharashiv,666423,383.993718904019,19,94,3.447,615,142,20396,376576,17236,20851,931,1149,0,1449.4751869,19815,32391,78788,200066,48,345802,739579,21011,1446.0281869,160796,79,62.37,61.2,100.1,NA
2025-2026,May,18,MAHARASHTRA,1824,AMRAVATI,2369554,352.871396361858,32,803,0.28512,5942,24,46108,1882005,159071,52700,772661,139669,4.55172,6645.89416309999,58604,114152,192408,543574,1783,512652,1129501,52050,6641.05732309999,852623,81,35.62,62.12,101.02,NA
2025-2026,May,18,MAHARASHTRA,1812,SANGLI,136576,302.170364414189,21,40,0.57024,1825,95,11173,256192,9553,7611,716,229,0,774.70654,11658,18281,49452,107328,7,329183,580724,12998,774.1363,106071,92,25.78,22.72,100.06,NA
2025-2026,May,18,MAHARASHTRA,1814,KOLHAPUR,145122,319.219656835702,22,58,0,587,257,12363,338963,23201,18650,515,374,0,1082.0365254,15377,26381,55324,136811,87,388014,704289,12950,1082.0365254,159578,94,40.41,35.43,110.89,NA
2025-2026,May,18,MAHARASHTRA,1834,HINGOLI,890870,331.021980953647,25,91,0,2174,26,24233,947478,104326,45087,132620,43953,0.428,3136.7884447,37193,63176,99390,253329,346,287963,638279,26407,3136.3604447,407723,92,83.53,78.64,100.2,NA
2025-2026,June,18,MAHARASHTRA,1803,RAIGAD,74589,324.90919698236,17,33,1.89636,927,339,17959,90932,2214,2743,28954,16680,5.72992,303.072711,5283,8709,30139,69351,17,215065,383512,18886,295.446431,44959,83,32.95,33.59,105.24,NA
2025-2026,June,18,MAHARASHTRA,1810,PUNE,179988,350.77287232205,17,39,6.35323,874,423,20098,202627,6328,9268,22632,22465,1.7325,718.846278,11382,19235,56320,149865,18,409585,879650,20972,710.760548,90823,95,40.67,37.21,102.19,NA
2025-2026,June,18,MAHARASHTRA,1812,SANGLI,208024,313.725557055786,22,40,8.95072,1851,89,11209,262182,9743,7616,716,229,0,831.48266,11868,18610,49582,107612,7,329530,581240,13060,822.53194,108882,92,26.28,23.23,100.28,NA
2025-2026,June,18,MAHARASHTRA,1817,PARBHANI,2107887,388.422560400929,22,266,41.98825,949,62,40236,1209791,35087,20500,6133,2852,6.3749,4747.4643277,53130,86637,156485,347669,418,456997,863304,41185,4699.1011777,507028,91,74.07,69.81,100.96,NA
2025-2026,June,18,MAHARASHTRA,1820,Dharashiv,1053761,373.186722353929,20,105,9.6379,623,121,20481,450073,19648,20890,1105,1153,0,1689.2505769,21912,35930,79220,201095,77,353340,752573,21104,1679.6126769,191595,80,64.89,63.9,100.1,NA
